fecha,cpi_u_nsa,fuente,url,consultado
1993-07-01,144.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1993-08-01,144.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1993-09-01,145.1,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1993-10-01,145.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1993-11-01,145.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1993-12-01,145.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-01-01,146.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-02-01,146.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-03-01,147.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-04-01,147.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-05-01,147.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-06-01,148.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-07-01,148.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-08-01,149.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-09-01,149.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-10-01,149.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-11-01,149.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1994-12-01,149.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-01-01,150.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1995-02-01,150.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
